ID,착과량(int)
TEST_0000,244.956748673126
TEST_0001,754.2874454048774
TEST_0002,156.0656809378656
TEST_0003,447.59249795141136
TEST_0004,686.5157650235968
TEST_0005,287.07671749281076
TEST_0006,58.86869793197041
TEST_0007,39.411063831198696
TEST_0008,365.1955541016783
TEST_0009,234.90532187360668
TEST_0010,557.1439570177666
TEST_0011,756.0019762521501
TEST_0012,449.3707901246781
TEST_0013,371.2481752669071
TEST_0014,62.285489843665964
TEST_0015,134.86998716420095
TEST_0016,457.72614948915
TEST_0017,412.50531269037003
TEST_0018,250.33743272739684
TEST_0019,575.5749322001221
TEST_0020,250.24125489084108
TEST_0021,353.0752765074348
TEST_0022,446.96595397800894
TEST_0023,246.16348486695986
TEST_0024,151.20522234880175
TEST_0025,658.9399482312735
TEST_0026,153.6930014969057
TEST_0027,761.1329014922678
TEST_0028,631.299743256488
TEST_0029,447.2710876960511
TEST_0030,39.24985882060131
TEST_0031,575.42875966751
TEST_0032,652.2325473068922
TEST_0033,545.7400212145749
TEST_0034,553.981150113393
TEST_0035,360.5811781592846
TEST_0036,252.14633873711492
TEST_0037,637.1183527322398
TEST_0038,25.75589162545776
TEST_0039,447.68640807357684
TEST_0040,373.6134603545508
TEST_0041,151.3354760776025
TEST_0042,743.1332167449416
TEST_0043,100.20424461511534
TEST_0044,579.898517932908
TEST_0045,339.91216222786574
TEST_0046,755.1871840888049
TEST_0047,461.00129085371464
TEST_0048,360.7573809605584
TEST_0049,450.16674220470225
TEST_0050,550.1141443757364
TEST_0051,641.4697366080302
TEST_0052,407.253443033479
TEST_0053,451.8339291633
TEST_0054,368.92359664491926
TEST_0055,159.14635601952622
TEST_0056,751.352054519008
TEST_0057,538.8000243755093
TEST_0058,562.8168231204022
TEST_0059,547.5627052927344
TEST_0060,450.7605984908444
TEST_0061,51.47147933252685
TEST_0062,548.7586398718015
TEST_0063,341.24521158421453
TEST_0064,533.0619550378826
TEST_0065,353.68969265329343
TEST_0066,447.5129935576282
TEST_0067,452.01572596425063
TEST_0068,147.7659835323147
TEST_0069,685.727409924092
TEST_0070,744.3975585925211
TEST_0071,746.4772149059585
TEST_0072,641.6097859994304
TEST_0073,253.20903601330235
TEST_0074,147.32196375824256
TEST_0075,247.912108835107
TEST_0076,151.40640045381906
TEST_0077,653.222797483225
TEST_0078,741.9571742031824
TEST_0079,346.8743924367643
TEST_0080,248.10530883220122
TEST_0081,48.15782443935457
TEST_0082,47.459556330262885
TEST_0083,652.9515844523421
TEST_0084,629.9006914418824
TEST_0085,479.584156008405
TEST_0086,247.71619943741553
TEST_0087,347.37209223972644
TEST_0088,56.81533396443578
TEST_0089,148.7582711521246
TEST_0090,31.289707437040033
TEST_0091,375.5299274045222
TEST_0092,543.5493407943866
TEST_0093,538.3870158256743
TEST_0094,536.4726804823281
TEST_0095,352.00794387053236
TEST_0096,242.74769842799412
TEST_0097,247.605991333106
TEST_0098,241.63783947031754
TEST_0099,635.9593046250651
TEST_0100,709.223533917812
TEST_0101,249.75265170994297
TEST_0102,444.33830169918207
TEST_0103,550.9394556959143
TEST_0104,233.01796364400874
TEST_0105,756.0646618300393
TEST_0106,156.75371488522782
TEST_0107,51.087014101345964
TEST_0108,457.70649496854924
TEST_0109,241.94353253253905
TEST_0110,645.5044094078321
TEST_0111,331.7147242250981
TEST_0112,567.5717776024684
TEST_0113,446.62755902043125
TEST_0114,707.3641527398642
TEST_0115,155.64075067125893
TEST_0116,660.7948835867345
TEST_0117,650.3690012770139
TEST_0118,344.9017968860287
TEST_0119,465.0144971831597
TEST_0120,155.01777979057542
TEST_0121,453.63715315054037
TEST_0122,339.25768470585734
TEST_0123,546.0678366529598
TEST_0124,742.1520718742252
TEST_0125,555.7240392532793
TEST_0126,286.43578688844303
TEST_0127,556.3104877342392
TEST_0128,540.7939006049905
TEST_0129,345.21302482664373
TEST_0130,49.997767828327
TEST_0131,244.94250754014914
TEST_0132,464.01466619800436
TEST_0133,339.17993525826205
TEST_0134,126.50607435167093
TEST_0135,246.8397869957745
TEST_0136,751.7696763581949
TEST_0137,286.19813099334556
TEST_0138,157.26971034540418
TEST_0139,547.1455286319847
TEST_0140,759.5857232806208
TEST_0141,747.0525090060203
TEST_0142,250.56330422106586
TEST_0143,445.5315405246169
TEST_0144,38.98757743238168
TEST_0145,558.9363599380429
TEST_0146,253.30430596822586
TEST_0147,165.29953641014396
TEST_0148,135.35935973467838
TEST_0149,406.339676972326
TEST_0150,566.4280427838024
TEST_0151,645.2505710101839
TEST_0152,762.4937969592611
TEST_0153,167.67489410190427
TEST_0154,538.42940720626
TEST_0155,754.4985236042241
TEST_0156,518.9345507581397
TEST_0157,339.39309395250723
TEST_0158,150.26752114218334
TEST_0159,247.4702841485595
TEST_0160,548.3468586348421
TEST_0161,252.98850769097496
TEST_0162,230.82316666418672
TEST_0163,26.751335829921228
TEST_0164,545.5507616007679
TEST_0165,555.5158389367485
TEST_0166,616.8019476255114
TEST_0167,656.4519699086634
TEST_0168,562.4852890438871
TEST_0169,359.83705335735834
TEST_0170,660.0816684194056
TEST_0171,540.3842669216754
TEST_0172,458.90715585427785
TEST_0173,247.18744565052893
TEST_0174,752.6663268105666
TEST_0175,148.01438578580533
TEST_0176,254.16268152926102
TEST_0177,364.17051703563897
TEST_0178,151.29209020115303
TEST_0179,349.6952448372412
TEST_0180,247.23962393319593
TEST_0181,353.05487388560266
TEST_0182,452.6221772374891
TEST_0183,257.8183092802827
TEST_0184,753.4803825732341
TEST_0185,544.2053360813545
TEST_0186,343.6545828619166
TEST_0187,647.4186238507244
TEST_0188,650.1367225273923
TEST_0189,255.81069427013557
TEST_0190,660.6645104227878
TEST_0191,159.3096393220227
TEST_0192,362.73443827872705
TEST_0193,646.2943847118811
TEST_0194,644.757940678866
TEST_0195,748.7141100623289
TEST_0196,250.44703336473094
TEST_0197,125.5551114314911
TEST_0198,243.95863274117875
TEST_0199,26.61331988995621
TEST_0200,155.33583156090793
TEST_0201,344.3320425873048
TEST_0202,249.10013991570668
TEST_0203,149.02923968349882
TEST_0204,449.1852819432523
TEST_0205,339.6243408014357
TEST_0206,48.27744051042958
TEST_0207,304.893765322497
TEST_0208,264.5709592420106
TEST_0209,454.2535569476502
TEST_0210,446.9786764262236
TEST_0211,163.13457258158783
TEST_0212,244.92467237214035
TEST_0213,558.9375868219134
TEST_0214,356.0223005307011
TEST_0215,26.601289926853198
TEST_0216,738.5991613564747
TEST_0217,157.84045913232427
TEST_0218,454.0914138261689
TEST_0219,448.4996380464956
TEST_0220,156.20122501266712
TEST_0221,354.0527614133181
TEST_0222,562.524273109622
TEST_0223,253.8643706943161
TEST_0224,549.0705936351856
TEST_0225,455.3357161405597
TEST_0226,537.4502911988463
TEST_0227,26.570226794001513
TEST_0228,650.5893291911921
TEST_0229,370.6415116611954
TEST_0230,454.00021986340124
TEST_0231,642.4557664176382
TEST_0232,444.6246015417037
TEST_0233,154.3093209462693
TEST_0234,368.0582700294428
TEST_0235,451.5559206923693
TEST_0236,447.8196054732395
TEST_0237,341.2569472555145
TEST_0238,134.08613991506036
TEST_0239,644.5839428564997
TEST_0240,620.7771723912491
TEST_0241,351.7237229833483
TEST_0242,286.28662420577956
TEST_0243,148.81741384946852
TEST_0244,644.3515637390318
TEST_0245,293.0240454694988
TEST_0246,343.7264313990873
TEST_0247,443.546920829955
TEST_0248,626.1169839533273
TEST_0249,689.9994746146016
TEST_0250,246.81138593750327
TEST_0251,41.74318437882847
TEST_0252,648.5981634671887
TEST_0253,351.0053780267494
TEST_0254,148.66987653692473
TEST_0255,345.7869473310923
TEST_0256,256.46800454805583
TEST_0257,264.83150500501057
TEST_0258,249.10799395028448
TEST_0259,30.7888458340227
TEST_0260,546.23622636552
TEST_0261,153.07044178205783
TEST_0262,349.2186426993958
TEST_0263,344.83713682760504
TEST_0264,36.434215184005325
TEST_0265,208.2445033740964
TEST_0266,409.73779924043436
TEST_0267,620.1796950650199
TEST_0268,560.8251741417622
TEST_0269,554.1563734664785
TEST_0270,349.302661162036
TEST_0271,344.86323582798246
TEST_0272,448.0873727896981
TEST_0273,756.5630323615292
TEST_0274,30.70825807854572
TEST_0275,35.1713893130078
TEST_0276,342.359953058995
TEST_0277,50.67243623082738
TEST_0278,252.79705195715437
TEST_0279,35.70121594308055
TEST_0280,567.5629710469191
TEST_0281,250.8078209347386
TEST_0282,26.825720051793645
TEST_0283,153.56425171999518
TEST_0284,707.0075228808481
TEST_0285,658.0201914481722
TEST_0286,36.83069446977117
TEST_0287,680.3423411069747
TEST_0288,557.3153801668198
TEST_0289,347.6510788290377
TEST_0290,554.8404606435771
TEST_0291,244.34404826088343
TEST_0292,712.9654416445572
TEST_0293,630.9991539027474
TEST_0294,446.8996724877816
TEST_0295,462.0162944649659
TEST_0296,656.9922456865678
TEST_0297,236.60550565312462
TEST_0298,180.7375480389562
TEST_0299,247.95259415988758
TEST_0300,244.10087097778964
TEST_0301,747.8030745574908
TEST_0302,153.04446851333196
TEST_0303,448.82067113864815
TEST_0304,515.1201145724169
TEST_0305,450.93283478277027
TEST_0306,121.62568608384538
TEST_0307,559.4916656628518
TEST_0308,753.2299148164587
TEST_0309,265.5885215063574
TEST_0310,36.66313542708419
TEST_0311,628.57780601153
TEST_0312,443.9163437978841
TEST_0313,353.1873902011972
TEST_0314,660.2304897889662
TEST_0315,343.668107053432
TEST_0316,440.69042715572084
TEST_0317,113.7693916543516
TEST_0318,447.81974706837957
TEST_0319,648.8108606874544
TEST_0320,243.68741998943102
TEST_0321,349.71981323618246
TEST_0322,561.1447262988172
TEST_0323,248.54101297409355
TEST_0324,350.05811750647325
TEST_0325,580.2075885631336
TEST_0326,51.445487920530645
TEST_0327,634.173842774403
TEST_0328,652.7715019963057
TEST_0329,344.79503652097674
TEST_0330,680.4020694482914
TEST_0331,55.90896715607222
TEST_0332,248.24103497166138
TEST_0333,354.3187677979429
TEST_0334,255.5345858920478
TEST_0335,154.83394673221974
TEST_0336,27.70739779115392
TEST_0337,449.2584990520218
TEST_0338,249.4697350357303
TEST_0339,254.2270747186724
TEST_0340,752.8061833786397
TEST_0341,246.7619880013161
TEST_0342,45.64256485591971
TEST_0343,243.54263149155557
TEST_0344,543.9804568187259
TEST_0345,446.98757918685953
TEST_0346,151.87239210673346
TEST_0347,289.82477707397436
TEST_0348,48.59618451001282
TEST_0349,649.4119348136701
TEST_0350,660.5641981088913
TEST_0351,466.63886353529875
TEST_0352,455.4115467975053
TEST_0353,362.50884349892544
TEST_0354,39.5990242110769
TEST_0355,175.85707381496482
TEST_0356,380.17369354563124
TEST_0357,570.0700941896355
TEST_0358,187.3056383310883
TEST_0359,450.25867907705134
TEST_0360,229.43228898638307
TEST_0361,169.08773272554023
TEST_0362,412.78548658873325
TEST_0363,204.08684661519024
TEST_0364,285.98103081211633
TEST_0365,657.7486362551272
TEST_0366,251.2023178805214
TEST_0367,646.9425458390313
TEST_0368,248.72730146591252
TEST_0369,148.1690957129981
TEST_0370,369.01193950886363
TEST_0371,256.75148599130773
TEST_0372,134.53898181407104
TEST_0373,558.8902229692675
TEST_0374,100.4337211273087
TEST_0375,640.4023499736486
TEST_0376,146.81506459364547
TEST_0377,357.16418031128114
TEST_0378,355.3679823295119
TEST_0379,525.2214593932352
TEST_0380,450.6200782985174
TEST_0381,651.4996767408303
TEST_0382,556.0101498189252
TEST_0383,373.47825797424656
TEST_0384,343.32871223433347
TEST_0385,103.75568746180058
TEST_0386,538.5869807751832
TEST_0387,709.235400056902
TEST_0388,658.0108865451601
TEST_0389,154.93971153045194
TEST_0390,26.416795580017602
TEST_0391,351.58944334906533
TEST_0392,741.5577473322143
TEST_0393,186.77132788315984
TEST_0394,150.65089978267378
TEST_0395,343.4958289089038
TEST_0396,340.55829478434384
TEST_0397,165.66857807235473
TEST_0398,153.28762315950038
TEST_0399,447.76325871806904
TEST_0400,758.2198338630853
TEST_0401,338.70507257764916
TEST_0402,449.48919213431043
TEST_0403,554.4980134920291
TEST_0404,451.64338229671773
TEST_0405,154.49416698496805
TEST_0406,245.89306542564188
TEST_0407,136.2488680657041
TEST_0408,711.0657939551552
TEST_0409,554.6775049853302
TEST_0410,346.3308780261794
TEST_0411,305.79097189711433
TEST_0412,652.1222043183711
TEST_0413,455.46352314928674
TEST_0414,345.0227092003324
TEST_0415,66.65651773097176
