ID,monthlyRent(us_dollar)
Test_0000,182.6813743902719
Test_0001,252.15359186255014
Test_0002,324.3682695608001
Test_0003,177.07606992645904
Test_0004,79.73216763271505
Test_0005,134.38188114488491
Test_0006,485.21954330948995
Test_0007,271.08928756974933
Test_0008,360.4813317774616
Test_0009,229.64495448925308
Test_0010,934.8430330502417
Test_0011,297.97846241201114
Test_0012,151.5871439755614
Test_0013,337.1631024179163
Test_0014,265.61435493476904
Test_0015,155.607239512649
Test_0016,110.13497358351623
Test_0017,141.32983765595597
Test_0018,431.6027908779047
Test_0019,297.3046295241246
Test_0020,212.55548244361444
Test_0021,140.51052617117463
Test_0022,188.10551252090926
Test_0023,331.80969246909126
Test_0024,176.83551148625193
Test_0025,696.5806761043165
Test_0026,171.96700037583503
Test_0027,246.45071700281557
Test_0028,136.709877803518
Test_0029,386.38833182368194
Test_0030,194.84064867518146
Test_0031,385.7709730636977
Test_0032,325.7668230156125
Test_0033,353.2854416027153
Test_0034,240.86103788802745
Test_0035,298.40940090383526
Test_0036,321.0104260811679
Test_0037,168.5437522307054
Test_0038,214.13541683818713
Test_0039,784.8979556813638
Test_0040,300.23630578501627
Test_0041,120.6355510598397
Test_0042,197.67855522394981
Test_0043,458.03971303301415
Test_0044,265.89810760351617
Test_0045,457.1061882385152
Test_0046,307.52985157400565
Test_0047,157.58391937501656
Test_0048,168.38391399484476
Test_0049,929.9637796209325
Test_0050,538.6839432641561
Test_0051,278.84510755709584
Test_0052,163.82323613069153
Test_0053,374.6780758081532
Test_0054,376.7654801099213
Test_0055,198.38844581068383
Test_0056,357.76789228362685
Test_0057,415.48969058131917
Test_0058,150.4083093084314
Test_0059,567.1558539965636
Test_0060,337.64855562574536
Test_0061,248.73038216965992
Test_0062,194.83934378888205
Test_0063,164.7630882312739
Test_0064,884.2731852721125
Test_0065,199.76900604254092
Test_0066,258.43025431945125
Test_0067,531.5154449060959
Test_0068,578.0284321158741
Test_0069,217.48335894236592
Test_0070,875.7844361757243
Test_0071,243.6097045971884
Test_0072,105.88605996712027
Test_0073,415.4251095793142
Test_0074,81.34005083505008
Test_0075,134.76425659403483
Test_0076,172.45612724091873
Test_0077,241.6988824228275
Test_0078,503.56412237639466
Test_0079,418.2131445597161
Test_0080,418.45661228124794
Test_0081,465.2897360518585
Test_0082,362.57198959107103
Test_0083,240.80867916356954
Test_0084,472.85593447989504
Test_0085,103.9200400486232
Test_0086,261.2730263941497
Test_0087,336.2464551433934
Test_0088,391.00758215876255
Test_0089,174.3314786583366
Test_0090,207.23593587850846
Test_0091,600.4895124966863
Test_0092,280.3470577597284
Test_0093,240.81724534327225
Test_0094,186.8712224413842
Test_0095,82.01381883787973
Test_0096,173.36687525602568
Test_0097,285.9609871274058
Test_0098,490.6241894297332
Test_0099,917.761568861569
Test_0100,127.5447485186905
Test_0101,295.1702278511084
Test_0102,136.32199770929458
Test_0103,246.5353014489037
Test_0104,268.3923005155781
Test_0105,104.303656750022
Test_0106,354.4083286823305
Test_0107,164.0152673239732
Test_0108,253.42074769621175
Test_0109,180.27622508896664
Test_0110,767.6902684619287
Test_0111,122.00974307025633
Test_0112,171.96700037583503
Test_0113,225.1017918362659
Test_0114,265.90497644792526
Test_0115,444.763369180172
Test_0116,434.38072209309087
Test_0117,287.57402667326505
Test_0118,179.746003181408
Test_0119,288.42103998622514
Test_0120,376.73561855752064
Test_0121,212.48168024752445
Test_0122,348.5613921932342
Test_0123,110.19778468685092
Test_0124,249.52135365271556
Test_0125,267.25038207822524
Test_0126,373.63763399208534
Test_0127,210.8699642530772
Test_0128,780.9178196791659
Test_0129,165.11229131876817
Test_0130,260.7459321021945
Test_0131,414.3898362913994
Test_0132,989.0785486727237
Test_0133,333.9087211441369
Test_0134,215.8615349439044
Test_0135,378.9506588345662
Test_0136,266.26114837548397
Test_0137,150.07967993938112
Test_0138,705.8012142693822
Test_0139,99.42649123265147
Test_0140,273.2362135588478
Test_0141,486.090630663777
Test_0142,240.7487773799031
Test_0143,183.22695809941368
Test_0144,135.99330650805572
Test_0145,395.3194927440173
Test_0146,159.0567315492707
Test_0147,236.78802654971662
Test_0148,454.9894952433879
Test_0149,330.2876218835058
Test_0150,754.5261458070393
Test_0151,157.63334729955153
Test_0152,164.4496023469923
Test_0153,183.19802272451102
Test_0154,105.31826898475413
Test_0155,173.26781504962165
Test_0156,359.6389313822061
Test_0157,199.3456323992966
Test_0158,315.13189458159167
Test_0159,138.64616633525858
Test_0160,597.2476783498231
Test_0161,183.59986241048733
Test_0162,252.40170231255178
Test_0163,406.50154424212514
Test_0164,163.4370979077548
Test_0165,260.14585804719695
Test_0166,505.8258371853684
Test_0167,375.4035069059897
Test_0168,141.86010699372017
Test_0169,406.76774906796044
Test_0170,191.56891131453938
Test_0171,157.46956795062906
Test_0172,214.5255139911364
Test_0173,484.3987011530046
Test_0174,112.74257305304582
Test_0175,354.2744654191744
Test_0176,183.13679229724403
Test_0177,989.0785486727237
Test_0178,228.55192318386392
Test_0179,153.7075385561124
Test_0180,916.533723892415
Test_0181,371.8177918603619
Test_0182,687.1165781833759
Test_0183,177.5494866599819
Test_0184,405.4275870868553
Test_0185,234.58159882181056
Test_0186,757.6948750326201
Test_0187,161.9050041983498
Test_0188,153.5414716775952
Test_0189,214.40109401282297
Test_0190,360.98081211137657
Test_0191,140.67740043161837
Test_0192,285.7578088001682
Test_0193,214.59845650784087
Test_0194,482.7446807713646
Test_0195,401.83082576536106
Test_0196,562.6167249896955
Test_0197,256.12240165409855
Test_0198,522.3339011984572
