ID,monthlyRent(us_dollar)
Test_0000,177.32121065043086
Test_0001,265.7929066433861
Test_0002,332.1327760107687
Test_0003,174.45202843656674
Test_0004,78.93307871575696
Test_0005,131.50548264398628
Test_0006,481.791734780667
Test_0007,273.33412197817745
Test_0008,362.667755186564
Test_0009,230.63293702878963
Test_0010,939.0887740041725
Test_0011,293.05461640497776
Test_0012,155.37511462806833
Test_0013,331.8058081960703
Test_0014,262.93495834832294
Test_0015,156.39065520991878
Test_0016,111.16128624682791
Test_0017,137.9428574949009
Test_0018,436.36220896106846
Test_0019,291.2020606291068
Test_0020,204.95012586936738
Test_0021,144.45045249879377
Test_0022,192.0904345551106
Test_0023,329.4526068810774
Test_0024,175.88049136783184
Test_0025,728.9356618496486
Test_0026,167.83725905617152
Test_0027,238.53678288940125
Test_0028,141.85576564243817
Test_0029,383.4435154994547
Test_0030,213.92838821944048
Test_0031,388.5326480246321
Test_0032,327.441478307208
Test_0033,348.5742182158428
Test_0034,238.76347421560615
Test_0035,291.2511818522841
Test_0036,305.1677116801308
Test_0037,168.50011777193401
Test_0038,216.32936583590174
Test_0039,796.7985927587051
Test_0040,303.60813051523525
Test_0041,123.79952143492757
Test_0042,196.88600078907726
Test_0043,461.63030867492427
Test_0044,274.41295289050555
Test_0045,447.7159425030556
Test_0046,304.82975780753384
Test_0047,165.84458207041652
Test_0048,166.75266797647092
Test_0049,957.7290814395121
Test_0050,506.7153787283241
Test_0051,279.801057376283
Test_0052,158.07482265677356
Test_0053,367.07575327088927
Test_0054,359.8811912488196
Test_0055,195.9983802417125
Test_0056,369.17927652468916
Test_0057,445.30612529430203
Test_0058,149.35370787837036
Test_0059,572.3285361256361
Test_0060,321.0671488083403
Test_0061,258.66061803871304
Test_0062,191.5217942262308
Test_0063,166.8273363045253
Test_0064,862.1486053469987
Test_0065,201.18339146853742
Test_0066,253.44808644738703
Test_0067,538.7539226387706
Test_0068,582.0789122361462
Test_0069,227.79225350302448
Test_0070,849.6913946933258
Test_0071,237.24274190821683
Test_0072,103.62673379836959
Test_0073,400.8040087238704
Test_0074,80.67833065956789
Test_0075,133.69383176658576
Test_0076,174.26045558718877
Test_0077,243.68054538501363
Test_0078,487.65940907060804
Test_0079,415.27975077504345
Test_0080,412.5684612199155
Test_0081,459.61867197398846
Test_0082,359.4870989552501
Test_0083,238.22909634427123
Test_0084,447.4259499515056
Test_0085,109.43296676550393
Test_0086,262.0486376763178
Test_0087,329.21983913232424
Test_0088,387.16649940543147
Test_0089,176.55743930355425
Test_0090,218.01776488189307
Test_0091,592.6676210945036
Test_0092,275.0100218728559
Test_0093,234.4894132207557
Test_0094,184.43354880010483
Test_0095,81.19317582600578
Test_0096,176.0490728044152
Test_0097,277.4336272604057
Test_0098,500.8495476634743
Test_0099,936.9957364111194
Test_0100,128.81666732798504
Test_0101,295.98435427890684
Test_0102,130.83790179631885
Test_0103,247.59282315180585
