archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
321.17,38.43,1,0,10300, , ,0001,0,20170324, ,0,0, ,0,"주택, 창고","시멘트기와, 스레이트","시멘트벽돌조, 시멘트블럭조",1,0, ,0,0,0,0,0,0,0,0,0, ,0003, ,0,주건축물,01000,단독주택,44133-46349, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 1-3번지, , , , , , ,1,일반,2,일반건축물,0,1,20,기와, , ,44133, , ,12,블록구조,321.17,321.17,0,19850622,0,321.17
262.84,0,0,28.78,10300, , ,0007,1,20220728, ,0,0, ,0,제2종근린생활시설,철판,경량철골구조,0,0, ,1,4.6,0,0,0,0,0,0,0, ,0000, ,0,주건축물,04000,제2종근린생활시설,44133-28651,10301,19.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 19,23,2,0,0,913,0,충청남도 천안시 서북구 백석동 7번지,20021101, , , , , ,1,일반,2,일반건축물,0,2,90,기타지붕, ,0,44133, ,20021125,32,경량철골구조,262.84,262.84,0,20030319,28.78,262.84
127.55,0,0,30.08,10300, , ,0007,0,20200826, ,0,0, ,0,제2종근린생활시설,기타지붕(샌드위치패널),벽돌구조,0,0, ,1,6.2,0,0,0,0,0,0,0, ,0010, ,0,주건축물,04000,제2종근린생활시설,44133-26309,10302,31.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 31,11.5,1,0,0,424,0,충청남도 천안시 서북구 백석동 7-10번지,20050825,1201,신축신고,4490136,건축과,2005,1,일반,2,일반건축물,0,3,90,기타지붕, ,0,44133, ,20051007,11,벽돌구조,127.55,127.55,0,20060103,30.08,127.55
36,0,0,0,10300, , ,0008,0,20170214, ,0,0, ,0,주택,시멘트기와,토담조,1,0, ,0,0,0,0,0,0,0,0,0, ,0000, ,0,주건축물,01000,단독주택,44133-56323, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 8번지, , , , , , ,1,일반,2,일반건축물,0,4,20,기와, , ,44133, , ,19,기타조적구조,36,36,0,19590612,0,36
789.2,0,0,0,10300,코오롱오토모티브 천안 볼보, ,0008,3,20201030,코오롱오토모티브 천안 볼보1동,0,0, ,0,자동차영업소 외2,(철근)콘크리트,일반철골구조,0,0, ,4,18.41,0,0,241.5,21,0,0,0, ,0002, ,0,주건축물,04000,제2종근린생활시설,44133-100325019,10302,15.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 15,149.5,13,0,0,0,0,충청남도 천안시 서북구 백석동 8-2번지,20160701,1101,신축허가,5660007,도시건축과,2016,1,일반,2,일반건축물,0,5,10,(철근)콘크리트, ,1,44133, ,20160721,21,철근콘크리트구조,1893.31,1893.31,0,20170120,0,1790.83
94.82,0,0,0,10300,코오롱오토모티브 천안 볼보, ,0008,3,20201102,코오롱오토모티브 천안 볼보2동,0,0, ,0,제2종근린생활시설,글라스울판넬,일반철골구조,0,0, ,1,6.4,0,0,0,0,0,0,0, ,0002, ,0,주건축물,04000,제2종근린생활시설,44133-100419934,10302,15.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 15,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 8-2번지,20200728,1102,증축허가,5660032,건축과,2020,1,일반,2,일반건축물,0,6,90,기타지붕,VII급 0.214g,1,44133, ,20200810,31,일반철골구조,94.82,94.82,0,20201019,0,94.82
277.52,0,0,0,10300,하나교회, ,0009,0,20171205,1동,0,0, ,0,"문화및집회시설,종교집회장",기타지붕,철근콘크리트구조,0,0, ,2,7.8,0,0,0,0,0,0,0, ,0001, ,0,주건축물,06000,종교시설,44133-59681,10302,11.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 11,74,6,0,0,0,0,충청남도 천안시 서북구 백석동 9-1번지,20030430,1101,신축허가,4490136,건축과,2003,1,일반,2,일반건축물,0,7,90,기타지붕, , ,44133, ,20030618,21,철근콘크리트구조,550.68,550.68,0,20040113,0,550.68
225.36,0,0,0,10300, , ,0009,0,20190530,2동,0,0, ,0,종교시설,철근콘크리트(평슬래브),철근콘크리트구조,0,0, ,3,14.04,0,0,0,0,0,0,0, ,0001, ,0,주건축물,06000,종교시설,44133-100226450,10302,11.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 11,120,10,0,0,0,0,충청남도 천안시 서북구 백석동 9-1번지,20101202,1102,증축허가,5660007,도시건축과,2010,1,일반,2,일반건축물,1,8,10,(철근)콘크리트, ,1,44133, ,20110221,21,철근콘크리트구조,438.94,438.94,0,20110829,0,438.94
661.62,0,0,46.01,10300, , ,0009,0,20220518, ,0,0, ,0,"제1,2종근린생활시설",(철근)콘크리트,철근콘크리트구조,0,0, ,5,26.8,0,0,0,0,0,0,0, ,0002, ,0,주건축물,03000,제1종근린생활시설,44133-100285780,10301,8.0,441333250048,0.0,0, 충청남도 천안시 서북구 한들3로 8,272.85,24,0,0,1438,0,충청남도 천안시 서북구 백석동 9-2번지,20140812,1101,신축허가,4490244,건축과,2014,1,일반,2,일반건축물,2,9,10,(철근)콘크리트, ,1,44133, ,20140915,21,철근콘크리트구조,3308.52,3308.52,1,20150702,225.66,3245.05
322.56,0,0,55.52,10300, , ,0009,0,20190530, ,0,0, ,0,"제1종근린생활시설,제2종근린생활시설",(철근)콘크리트,철근콘크리트구조,0,0, ,3,13.35,0,0,0,0,0,0,0, ,0003, ,0,주건축물,03000,제1종근린생활시설,44133-100301554,10302,7.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 7,69,6,0,0,581,0,충청남도 천안시 서북구 백석동 9-3번지,20150703,1101,신축허가,5660007,도시건축과,2015,1,일반,2,일반건축물,1,10,10,(철근)콘크리트, ,1,44133, ,20150831,21,철근콘크리트구조,873.67,873.67,0,20160205,150.37,873.67
