,as1,as2,as3,as4,bjdCode,kaptCode,kaptName
0,경상남도,창원마산회원구,내서읍,삼계리,4812725028,A63085232,마산삼계2
1,부산광역시,연제구,연산동,2647010200,A61108001,연산센트럴파크,
2,울산광역시,북구,중산동,3120010600,A68380902,이화제일그린파크,
3,경기도,평택시,안중읍,현화리,4122025330,A45176505,안중현대3차
4,전라남도,순천시,조례동,4615013300,A54032002,금당대림아파트,
5,대구광역시,달서구,상인동,2729011500,A70437018,상인제림타운,
6,서울특별시,금천구,시흥동,1154510300,A15303103,시흥성지,
7,전라북도,완주군,이서면,상개리,4571033026,A56585301,이서 하늘가
8,강원도,강릉시,노암동,4215012100,A21093206,노암3차한라아파트,
9,경기도,이천시,대월면,사동리,4150035026,A46785502,현대5차
10,서울특별시,강남구,도곡동,1168011800,A13527007,도곡1차아이파크,
11,서울특별시,양천구,신정동,1147010100,A15886402,신정대성유니드아파트2차,
12,경기도,시흥시,하중동,4139011900,A42925205,하중연성참이슬,
13,경기도,용인기흥구,보정동,4146311800,A44697610,동원로얄듀크,
14,경기도,광명시,하안동,4121010300,A42385302,하안주공7단지,
15,부산광역시,북구,화명동,2632010200,A61679206,벽산강변타운아파트,
16,경기도,의정부시,호원동,4115010200,A48077201,신일유토빌,
17,경기도,동두천시,생연동,4125010300,A48303004,동두천상우,
18,경기도,의정부시,장암동,4115010300,A48003001,삼환나우빌,
19,경기도,고양덕양구,주교동,4128110100,A41280902,주교벽산,
20,부산광역시,중구,영주동,2611010100,A60011202,영주동금호타운,
21,서울특별시,노원구,중계동,1135010600,A13986111,중계라이프신동아청구아파트,
22,전라남도,광양시,광양읍,구산리,4623025022,A54580101,광양삼익아파트
23,대구광역시,동구,봉무동,2714010500,A70117001,봉무청구새들마을,
24,경기도,안양동안구,평촌동,4117310300,A43174208,초원대림,
25,경상남도,김해시,구산동,4825010600,A62175904,이진캐스빌1단지,
26,부산광역시,북구,구포동,2632010500,A61680506,벽산그린필드1차아파트,
27,대구광역시,달서구,상인동,2729011500,A70475404,상인현대동방타운,
28,경기도,파주시,와동동,4148012200,A41383310,가람마을3단지동문아파트,
29,경상남도,창원진해구,자은동,4812914200,A64577302,진해삼성,
30,서울특별시,노원구,하계동,1135010400,A13923106,하계2차현대아파트,
