시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12
가평군,22105529,13,11,223,35,37,4.17,3.95,3.99
강남구,103309405,2,11,3,10,36,4.1,4.13,3.98
강동구,23706460,2,6,1,2,18,3.6,3.92,3.96
강릉시,26260986,8,11,70,33,33,4.27,4.13,3.75
강북구,18328235,1,5,1,6,19,4.5,4,3.89
강서구,44365489,4,12,2,9,39,4.15,4.17,3.83
강원도 고성군,11587818,0,2,44,2,4,4.28,4.33,4.67
강진군,3731667,3,5,1,0,0,4.41,4,4
거제시,16967099,9,10,99,8,18,4.28,4.11,4
거창군,4970043,3,2,10,0,2,4.19,4.25,4.25
경남 고성군,6925828,4,3,17,1,1,4.1,4.2,4
경산시,16897159,3,4,0,5,18,4.25,3.8,4
경주시,38487665,11,27,113,20,17,4.18,4.02,3.96
계룡시,2654049,1,3,1,0,1,4,3,3
고령군,4108285,3,0,4,0,1,3.89,3.92,3.85
고양시,75257135,6,32,1,34,88,4.12,3.89,3.78
고창군,6568793,3,9,8,2,2,4.2,3,2
고흥군,6250555,2,3,8,0,0,4.18,3.9,3.93
곡성군,4220504,1,3,8,0,2,4.18,3.75,3.5
공주시,14007894,5,6,18,6,17,4.2,4,3.89
과천시,11662793,2,3,1,0,2,4.04,4.17,3.92
관악구,28692265,0,6,0,1,16,4.17,3.97,3.87
광명시,19930245,2,9,1,3,8,4.11,3.96,3.93
광양시,8651194,5,2,3,2,11,4.18,3.2,3.4
광주광역시 광산구,22917960,0,14,0,3,23,4.2,4.06,4.1
광주광역시 남구,11733823,2,2,2,1,17,4,4.18,4.13
광주광역시 동구,17762318,1,0,3,4,6,4.33,4.35,4.18
광주광역시 북구,21467178,4,6,3,5,22,4.09,4.22,4.17
광주광역시 서구,25200044,2,3,1,3,18,3.92,4.28,4.07
광주시,24448778,7,7,11,15,37,4.2,4.27,3.91
광진구,29971654,0,4,2,0,26,4.11,4.14,4.14
괴산군,6793475,3,2,19,0,4,4.18,4,4.33
구례군,4503554,1,3,22,1,2,4.27,4.09,4.04
구로구,29155037,0,6,1,0,7,4,4.13,4.08
구리시,14610752,1,5,0,1,11,4.75,4.26,4.17
구미시,14286993,6,11,1,6,13,4,4.57,4.43
군산시,14377306,6,8,5,6,18,4.23,3,3
군위군,4499849,0,0,0,0,0,3.94,4.02,3.97
군포시,12922885,6,6,0,4,14,4.12,4.5,4
금산군,6269644,3,3,10,1,2,4.07,4.07,4.01
금천구,17785107,0,2,0,0,9,3,4.05,3.68
김제시,6914139,3,4,0,0,7,4.14,4.03,3.95
김천시,9219130,2,3,8,1,4,4.02,3.5,3
김포시,27006654,5,27,4,16,53,4.1,4,4
김해시,25580274,4,16,2,8,22,4.09,4,3.57
나주시,9956429,3,8,5,2,9,4.03,3.97,3.69
남양주시,32210877,7,22,19,39,92,4.08,3.88,3.92
남원시,7035338,0,4,4,0,1,4.19,3.94,3.73
남해군,8232966,9,8,80,5,3,4.33,3.91,3.84
노원구,26938602,8,10,1,4,14,4.13,4,4
논산시,9594511,3,6,10,1,3,4.18,3.94,3.69
단양군,6669433,0,4,25,1,0,4.23,3.89,3.81
담양군,9883438,4,5,15,5,20,4.33,3.75,3.75
당진시,12349021,5,9,7,2,14,4.2,4,4
대구광역시 남구,12795176,1,4,1,4,13,4,3.83,3.83
대구광역시 달서구,30178387,2,13,0,4,14,4.16,4.04,4.03
대구광역시 달성군,17867385,5,8,3,10,18,4.15,4.11,4.05
대구광역시 동구,31855695,3,9,3,9,21,4.19,4.21,4.12
대구광역시 북구,24462256,2,6,3,1,12,4.14,4.08,3.92
대구광역시 서구,11114600,0,2,0,3,0,4,3.91,3.73
대구광역시 수성구,27458635,6,5,2,5,20,4.18,3.87,3.96
대구광역시 중구,33236846,1,2,0,5,13,4.07,4.1,4
대전광역시 대덕구,10362892,4,12,0,0,12,4.37,4.08,4.04
대전광역시 동구,14857098,3,7,2,3,8,4.21,3.92,3.88
대전광역시 서구,28766993,1,10,4,9,45,4.19,4,4.06
대전광역시 유성구,27183723,3,10,3,8,28,4.18,3.89,3.87
대전광역시 중구,20237493,2,4,0,4,12,4.17,4.15,4.22
도봉구,13459863,2,2,0,2,11,4.22,3.95,3.86
동대문구,24994344,3,2,0,2,14,4.5,3.92,3.95
동두천시,5120948,5,0,6,1,4,4.29,3.97,4.05
동작구,24300103,0,6,0,0,10,4,3.9,4.2
동해시,6759629,7,14,15,2,5,4.27,4.02,4.09
마포구,56951532,2,12,3,31,64,4.15,3.98,3.91
목포시,13256884,5,12,6,8,18,4.23,4,3.73
무안군,7880451,5,2,2,3,9,3.9,3.98,3.89
무주군,5532536,2,1,20,1,1,4.27,3.9,3.8
문경시,7154024,2,7,11,1,2,4.21,3.89,3.78
밀양시,11559157,4,15,34,4,11,4.15,3.92,3.62
보령시,14796644,6,5,30,6,7,4.22,3.89,3.78
보성군,5010542,3,5,6,1,1,4.26,4,3.93
보은군,4729375,4,7,11,0,1,4.2,4.06,4
봉화군,3328175,1,2,8,0,0,4.21,3.92,3.89
부산광역시 강서구,19199657,3,7,2,4,15,4.29,3.96,3.93
부산광역시 금정구,16861277,5,3,0,7,7,4.39,3.96,3.88
부산광역시 기장군,29542362,11,10,13,20,29,4.21,4.25,4
부산광역시 남구,15420524,4,5,2,1,8,4.32,3.99,3.96
부산광역시 동구,11466138,1,2,0,1,1,4.41,4,4.06
부산광역시 동래구,20815215,3,8,0,7,11,4.55,3.94,3.89
부산광역시 부산진구,40672637,2,2,1,10,31,4.47,3.94,3.94
부산광역시 북구,12203564,3,2,1,3,8,4.33,4,3.91
부산광역시 사상구,14909226,0,4,2,2,3,4.5,3.96,3.92
부산광역시 사하구,13011480,4,8,1,5,2,4.32,4.08,4.05
부산광역시 서구,10681311,8,11,3,2,3,4.34,4.03,3.96
부산광역시 수영구,21638974,3,1,2,7,25,4.22,4.1,3.97
부산광역시 연제구,16093983,1,2,0,2,7,4,3.97,3.88
부산광역시 영도구,7672511,8,10,1,2,4,4.4,3.96,3.92
부산광역시 중구,16380620,1,2,2,1,3,4.25,4,3.98
부산광역시 해운대구,41543754,10,11,18,21,21,4.24,4.12,4.02
부안군,8305178,7,5,16,0,2,4.33,4.11,3.95
부여군,6669455,3,10,4,0,2,4.29,4.13,4.01
부천시,35697806,1,10,0,16,46,4.15,4.17,4.05
사천시,10749055,7,8,17,2,1,4.31,4,3.94
산청군,6756851,0,3,20,0,0,4.32,4.05,3.98
삼척시,8586812,12,13,31,0,4,4.38,4.04,4.02
상주시,7957210,2,8,7,0,3,4.21,4.03,3.97
서귀포시,39371469,45,42,190,28,46,4.37,3.94,3.96
서대문구,28755350,1,5,0,3,11,3.8,4.13,4.04
서산시,10484881,4,1,9,0,10,4.2,4.03,3.97
